X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,QualityOfLife,CODE_DEFINED,LAT,LONG,ObjectId
-8480026.47196021,5319191.88678552,2024/02/11 00:00:00+00,1937,1937,100 NELSON ST     ,False,SIMPLE ASSAULT,43.0474163550001,-76.177373895,107
-8480271.94869193,5317124.37587183,2024/02/11 00:00:00+00,1814,1814,1600 W  ONONDAGA ST     ,False,OFFN AGAINST FAMILY,43.0338420790001,-76.17957905,108
-8476672.40779892,5320389.41467495,2024/02/11 00:00:00+00,1847,1847,500 N  TOWNSEND ST     ,False,POSSESSION/USE DANGEROUS WEAPONS,43.0552773700001,-76.147243824,109
-8477382.0499605,5318739.12727371,2024/02/19 00:00:00+00,2149,2227,100 DICKERSON ST     ,False,OFFN AGAINST FAMILY,43.044444012,-76.153618648,110
-8477085.23924747,5318475.64087567,2024/02/19 00:00:00+00,1721,1816,700 S  WARREN ST     ,True,CRIMINAL MISCHIEF,43.0427141710001,-76.1509523519999,111
-8475016.43864611,5319059.91776306,2024/04/25 00:00:00+00,312,312,500 WALNUT AVE    ,False,OFFN AGAINST FAMILY,43.04655,-76.132368,112
-8476252.76471073,5311361.59027037,2024/02/19 00:00:00+00,1714,1714,5000 S  SALINA ST     ,True,SIMPLE ASSAULT,42.995990567,-76.143474106,113
-8475950.68747259,5314121.75867248,2024/04/25 00:00:00+00,703,703,100 W  OSTRANDER AVE    ,False,OFFN AGAINST FAMILY,43.014123,-76.1407604999999,114
-8478094.14315463,5323699.81272455,2024/02/20 00:00:00+00,1400,1400,3100 GRANT BLVD   ,False,CRIMINAL MISCHIEF,43.077002802,-76.16001549,115
-8476582.82377267,5316205.97620743,2024/02/19 00:00:00+00,2211,2211,1900 S  SALINA ST     ,True,POSSESSION/USE DANGEROUS WEAPONS,43.0278113480001,-76.146439077,116
-8476910.06778731,5316410.18035221,2024/02/20 00:00:00+00,1708,1708,200 KIRK AVE    ,False,CRIMINAL MISCHIEF,43.029152319,-76.1493787599999,117
